Date,Open,High,Low,Close,Volume
2025-09-26,185.0,185.0,176.0,177.0,303115
2025-09-30,176.0,182.5,176.0,182.0,135500
2025-10-01,184.5,186.5,177.5,178.0,182286
2025-10-02,184.5,190.0,180.0,182.5,272037
2025-10-03,187.0,187.0,182.0,183.5,148000
2025-10-07,185.5,192.0,183.5,189.0,337000
2025-10-08,188.0,189.5,184.5,188.5,194010
2025-10-09,191.0,192.0,186.0,188.5,169011
2025-10-13,171.0,176.0,171.0,175.0,427009
2025-10-14,177.5,178.5,162.0,163.0,545033
2025-10-15,164.5,164.5,163.0,164.0,149312
2025-10-16,167.0,171.0,166.5,169.0,180000
2025-10-17,173.0,174.0,165.5,165.5,168001
2025-10-20,167.5,170.5,166.0,169.0,145030
2025-10-21,170.0,172.5,169.0,169.0,179000
2025-10-22,170.0,170.0,166.5,167.0,102000
2025-10-23,166.5,166.5,163.5,164.0,118003
2025-10-27,166.0,170.0,166.0,169.5,171001
2025-10-28,173.0,175.0,168.5,171.5,185007
2025-10-29,172.5,185.5,169.0,183.0,528165
2025-10-30,184.5,201.0,184.5,201.0,1235020
2025-10-31,205.5,217.5,194.5,208.5,2815614
2025-11-03,213.0,229.0,206.0,229.0,2962615
2025-11-04,230.5,237.5,209.0,216.0,3178186
2025-11-05,203.5,214.0,201.5,206.5,936200
2025-11-06,209.5,218.5,203.0,210.0,1067004
2025-11-07,208.0,210.5,201.5,203.5,434827
2025-11-10,206.0,207.0,189.0,191.0,901773
2025-11-11,192.5,193.5,186.5,186.5,365150
2025-11-12,189.0,189.0,180.5,180.5,384040
2025-11-13,182.0,182.0,173.0,174.0,508100
2025-11-14,170.0,171.5,168.5,170.0,300000
2025-11-17,171.0,171.0,165.5,166.0,192092
2025-11-18,166.0,166.0,157.5,157.5,284300
2025-11-19,157.5,161.5,154.0,155.5,193000
2025-11-20,160.0,164.0,158.0,159.5,213081
2025-11-21,156.0,157.5,150.0,152.0,236003
2025-11-24,153.5,155.0,152.0,153.0,86000
2025-11-25,156.0,164.5,156.0,163.5,348154
2025-11-26,164.5,164.5,159.5,161.5,189000
2025-11-27,163.0,163.0,159.5,161.5,123000
2025-11-28,162.0,165.5,161.5,163.5,175000
2025-12-01,164.0,164.0,159.5,160.0,127000
2025-12-02,161.0,162.5,159.5,159.5,114167
2025-12-03,162.0,164.5,160.5,161.5,146000
2025-12-04,163.0,165.0,160.5,161.0,112000
2025-12-05,162.0,165.5,160.0,162.0,200001
2025-12-08,163.0,164.5,160.5,161.5,178000
2025-12-09,162.5,164.0,159.5,164.0,161024
2025-12-10,165.0,165.5,159.5,159.5,185378
2025-12-11,160.0,160.0,155.0,155.5,160015
2025-12-12,156.0,158.5,154.0,154.0,76500
2025-12-15,154.0,155.0,151.0,154.0,61250
2025-12-16,152.0,154.0,149.0,151.5,155090
2025-12-17,151.0,152.5,148.0,149.0,105179
2025-12-18,147.0,147.5,144.0,145.5,114249
2025-12-19,146.5,151.0,145.0,151.0,109030
2025-12-22,151.5,153.0,151.0,152.5,69505
2025-12-23,152.0,154.0,150.5,150.5,82001
2025-12-24,150.5,155.0,149.5,149.5,108098
