Date,Open,High,Low,Close,Volume
2025-08-19,143.5,143.5,137.0,137.0,37923070.0
2025-08-20,132.0,134.5,127.0,127.5,42447963.0
2025-08-21,130.0,136.0,129.5,133.0,24486226.0
2025-08-22,132.5,133.5,130.5,131.5,16300452.0
2025-08-25,135.5,137.5,134.0,135.5,24588067.0
2025-08-26,135.5,141.5,135.0,139.5,31804983.0
2025-08-27,141.0,142.5,139.0,139.0,27799971.0
2025-08-28,140.0,144.5,138.5,142.0,38238641.0
2025-08-29,153.0,156.0,153.0,156.0,19938843.0
2025-09-01,162.0,166.5,156.5,158.5,141085944.0
2025-09-02,161.0,164.0,149.0,152.0,87496779.0
2025-09-03,152.5,155.0,149.5,153.5,30737345.0
2025-09-04,156.5,158.0,150.5,151.0,28885147.0
2025-09-05,152.5,161.5,152.5,160.0,56690045.0
2025-09-08,167.0,171.0,162.0,169.0,84871423.0
2025-09-09,168.0,170.5,166.0,170.5,45797076.0
2025-09-10,172.5,174.0,168.5,172.5,43904790.0
2025-09-11,173.5,174.0,165.0,166.0,37051315.0
2025-09-12,169.0,170.0,164.0,166.0,23993980.0
2025-09-15,166.0,167.0,163.0,166.5,21557188.0
2025-09-16,167.0,168.0,164.5,166.0,18909518.0
2025-09-17,166.0,170.0,164.0,165.0,24615332.0
2025-09-18,166.5,171.5,165.5,167.5,30399439.0
2025-09-19,168.5,170.5,166.0,169.5,21441308.0
2025-09-22,175.0,179.5,168.0,171.0,32465135.0
2025-09-23,173.0,173.5,166.0,167.0,22028867.0
2025-09-24,167.5,167.5,164.0,166.0,14534601.0
2025-09-25,166.0,169.5,164.5,166.0,15637129.0
2025-09-26,165.0,166.0,155.5,155.5,36037332.0
2025-09-30,156.0,164.0,156.0,164.0,19601642.0
2025-10-01,164.0,166.0,162.0,165.0,14931382.0
2025-10-02,167.5,171.0,166.0,167.5,24771149.0
2025-10-03,167.5,170.5,166.5,169.0,12793739.0
2025-10-07,172.0,176.0,171.0,172.5,23307387.0
2025-10-08,172.5,176.0,171.5,174.0,22763395.0
2025-10-09,176.5,179.0,174.5,176.0,17196937.0
2025-10-13,167.0,172.5,166.5,170.0,19147515.0
2025-10-14,172.0,173.5,161.5,161.5,27632394.0
2025-10-15,163.5,167.5,160.0,166.0,16055047.0
2025-10-16,168.5,182.0,168.5,180.5,48638048.0
2025-10-17,177.0,183.0,171.5,175.0,44102428.0
2025-10-20,176.5,179.5,174.0,178.0,16531593.0
2025-10-21,181.0,187.5,179.0,184.0,33282963.0
2025-10-22,182.5,182.5,175.5,176.5,29914286.0
2025-10-23,173.5,177.0,173.0,175.0,17232248.0
2025-10-27,179.5,191.0,179.0,188.0,42172100.0
2025-10-28,187.0,191.0,182.0,188.5,27499966.0
2025-10-29,199.0,207.0,197.0,207.0,58252857.0
2025-10-30,207.0,207.5,198.0,203.0,47353139.0
2025-10-31,204.5,219.0,204.0,217.0,60487223.0
2025-11-03,223.0,226.5,220.0,224.0,40990379.0
2025-11-04,230.0,231.0,214.0,214.0,34370795.0
2025-11-05,206.0,222.0,205.5,220.5,34970840.0
2025-11-06,226.0,228.0,216.0,217.5,29780958.0
2025-11-07,213.5,221.0,212.0,213.5,20635061.0
2025-11-10,214.0,220.0,208.0,217.0,24523369.0
2025-11-11,221.0,223.0,213.0,213.0,20998562.0
2025-11-12,214.0,214.5,208.0,210.5,14409547.0
2025-11-13,212.0,217.5,210.5,215.5,18580142.0
2025-11-14,210.5,213.5,206.5,208.5,18157317.0
2025-11-17,209.5,219.5,209.0,213.5,29943994.0
2025-11-18,209.5,212.5,198.0,198.0,41900084.0
2025-11-19,200.0,202.0,196.5,196.5,34567089.0
2025-11-20,207.0,215.0,205.5,211.5,42329407.0
2025-11-21,200.5,208.0,196.5,204.5,42057970.0
2025-11-24,208.5,209.0,203.0,203.5,111280376.0
2025-11-25,210.0,212.0,205.0,205.0,28986140.0
2025-11-26,208.0,218.0,207.5,212.0,31598601.0
2025-11-27,215.0,224.0,215.0,222.0,36634648.0
2025-11-28,223.0,233.0,216.5,229.0,40165175.0
2025-12-01,228.0,228.5,216.5,217.5,32303507.0
2025-12-02,221.5,232.5,221.5,226.5,48353014.0
2025-12-03,229.0,232.0,221.5,226.0,27365017.0
2025-12-04,225.0,225.0,217.5,220.5,22299358.0
2025-12-05,220.0,223.0,218.5,221.5,15057179.0
2025-12-08,221.0,228.0,221.0,228.0,16806008.0
2025-12-09,228.5,235.0,225.5,228.5,27092047.0
2025-12-10,229.0,231.5,227.0,229.0,13922992.0
