Date,Open,High,Low,Close,Volume
2025-10-28,7301.52001953125,7469.02001953125,7275.43017578125,7461.330078125,16800
2025-10-29,7381.2001953125,7500.0,7278.89013671875,7333.31005859375,28700
2025-10-30,7335.0,7390.1201171875,7184.0,7245.7099609375,19600
2025-10-31,7178.9599609375,7267.06982421875,7178.9599609375,7210.81982421875,14200
2025-11-03,7146.419921875,7150.0,7040.0,7072.31982421875,18600
2025-11-04,7070.0,7160.0400390625,7003.47021484375,7146.02978515625,14600
2025-11-05,7143.97021484375,7250.52001953125,7110.5498046875,7181.8701171875,19600
2025-11-06,7164.97998046875,7237.10009765625,7134.85986328125,7195.0498046875,15700
2025-11-07,7179.89990234375,7258.669921875,7159.41015625,7251.240234375,17100
2025-11-10,7232.58984375,7366.009765625,7213.18017578125,7336.81005859375,23000
2025-11-11,7370.0,7370.0,7263.22021484375,7301.2099609375,45000
2025-11-12,7334.0,7378.97998046875,7251.990234375,7287.3798828125,23900
2025-11-13,7256.68994140625,7365.06982421875,7249.56982421875,7255.56982421875,27400
2025-11-14,7300.0,7315.0,7215.0,7271.89013671875,16900
2025-11-17,7259.169921875,7285.89013671875,7145.259765625,7156.64013671875,17200
2025-11-18,7105.490234375,7157.93017578125,7030.0,7147.1298828125,19900
2025-11-19,7116.81005859375,7207.740234375,7093.64013671875,7119.89990234375,15200
2025-11-20,7189.81005859375,7203.68994140625,7082.06982421875,7163.330078125,17100
2025-11-21,7230.759765625,7461.22021484375,7230.759765625,7388.81982421875,18100
2025-11-24,7224.2998046875,7354.990234375,7224.2998046875,7263.52001953125,36200
2025-11-25,7340.0,7478.5,7335.22021484375,7453.3798828125,18800
2025-11-26,7435.93994140625,7593.7998046875,7435.93994140625,7566.669921875,15000
2025-11-28,7607.4599609375,7607.4599609375,7487.68017578125,7507.2900390625,6500
2025-12-01,7450.0,7614.52978515625,7450.0,7517.08984375,17300
2025-12-02,7563.27978515625,7655.0,7517.08984375,7601.10009765625,23100
2025-12-03,7648.009765625,7746.7900390625,7628.0400390625,7679.419921875,23100
2025-12-04,7644.9501953125,7666.16015625,7483.6201171875,7519.669921875,20400
2025-12-05,7473.419921875,7578.68017578125,7473.419921875,7538.080078125,16800
2025-12-08,7501.18994140625,7540.52001953125,7435.8798828125,7438.35986328125,20400
2025-12-09,7415.5,7458.419921875,7294.7998046875,7318.2900390625,17500
2025-12-10,7345.0,7525.0,7345.0,7504.3701171875,17100
2025-12-11,7541.68017578125,7609.990234375,7480.18017578125,7511.16015625,17400
2025-12-12,7510.0,7589.83984375,7471.39013671875,7517.81005859375,22300
2025-12-15,7569.31982421875,7632.35009765625,7532.02001953125,7632.35009765625,18300
2025-12-16,7628.419921875,7655.02001953125,7519.66015625,7530.240234375,18800
2025-12-17,7444.97998046875,7605.0,7418.66015625,7472.5498046875,21100
2025-12-18,7581.68017578125,7611.68994140625,7496.02001953125,7561.6201171875,30300
2025-12-19,7531.33984375,7596.4599609375,7369.0,7399.7099609375,66000
2025-12-22,7450.0,7495.0,7369.60986328125,7397.06982421875,24300
2025-12-23,7439.97998046875,7439.97998046875,7266.77978515625,7338.0498046875,19400
2025-12-24,7309.240234375,7435.0,7301.0,7385.2900390625,10700
2025-12-26,7399.02001953125,7426.240234375,7342.41015625,7382.16015625,12300
2025-12-29,7380.0,7420.0,7329.7998046875,7355.259765625,17200
2025-12-30,7352.56005859375,7365.0,7283.9599609375,7327.2001953125,11700
2025-12-31,7331.43017578125,7391.64013671875,7280.0,7292.77001953125,14800
2026-01-02,7287.27001953125,7388.0,7240.0,7278.8701171875,21600
2026-01-05,7251.10009765625,7425.52978515625,7251.10009765625,7321.2099609375,22200
2026-01-06,7250.0,7252.85986328125,7022.0,7239.72998046875,56600
