Date,Open,High,Low,Close,Volume
2026-09-08,4840.0,4850.0,4685.0,4705.0,316255.0
2026-09-09,4800.0,5000.0,4715.0,4840.0,686434.0
2026-09-10,5000.0,5270.0,4830.0,5175.0,492314.0
2026-09-11,5240.0,5445.0,5005.0,5215.0,390333.0
2026-09-14,5260.0,5260.0,4720.0,4880.0,424993.0
2026-09-15,4820.0,4895.0,4625.0,4775.0,130051.0
2026-09-16,4750.0,4875.0,4730.0,4810.0,146528.0
2026-09-17,4780.0,5050.0,4585.0,4725.0,386839.0
2026-09-18,4800.0,4800.0,4355.0,4545.0,687328.0
2026-09-21,4510.0,4560.0,4320.0,4510.0,293276.0
2026-09-22,4400.0,4995.0,4305.0,4730.0,2106607.0
